epochNum,cost,costType
0,0.6492357575135845,t_cost
0,0.659664399018039,v_cost
1,0.6489916498481284,t_cost
1,0.662699186913524,v_cost
2,0.649100526202631,t_cost
2,0.6627096350840203,v_cost
3,0.6489234013568841,t_cost
3,0.6638975329385068,v_cost
4,0.6493395676221806,t_cost
4,0.6602310551464418,v_cost
5,0.6491324642398159,t_cost
5,0.660615413205322,v_cost
6,0.648492667866111,t_cost
6,0.6605328717715625,v_cost
7,0.6483761408923817,t_cost
7,0.6623935449848198,v_cost
8,0.6482798305128621,t_cost
8,0.6619741926318018,v_cost
9,0.648081205497244,t_cost
9,0.6606104633094951,v_cost
10,0.6485448432418104,t_cost
10,0.6622389369194135,v_cost
11,0.6488431772936265,t_cost
11,0.6689377837676623,v_cost
12,0.6488370916712165,t_cost
12,0.6701698103400815,v_cost
13,0.6485451153973486,t_cost
13,0.6691926769615901,v_cost
14,0.6480191217263293,t_cost
14,0.667885657787754,v_cost
15,0.6477600098075319,t_cost
15,0.6665304245198642,v_cost
16,0.647949585974442,t_cost
16,0.6642541488417606,v_cost
17,0.6469248768614172,t_cost
17,0.6656881137031446,v_cost
18,0.6471873493344042,t_cost
18,0.667612146762544,v_cost
19,0.6471467788481919,t_cost
19,0.665278325452249,v_cost
20,0.6471743632538225,t_cost
20,0.6647461441324799,v_cost
21,0.6468046294413939,t_cost
21,0.6670538782256955,v_cost
22,0.6468641492382612,t_cost
22,0.6679033724014144,v_cost
23,0.6464152960928327,t_cost
23,0.6667868748479899,v_cost
24,0.6467694977107155,t_cost
24,0.6670468433407296,v_cost
25,0.6489100923343372,t_cost
25,0.6729300886798837,v_cost
26,0.6514450988525573,t_cost
26,0.6676806512132871,v_cost
27,0.6510327959694538,t_cost
27,0.6677115901912691,v_cost
28,0.6506676808204651,t_cost
28,0.6668815994252696,v_cost
29,0.6502187652359975,t_cost
29,0.6666165439071418,v_cost
30,0.6491480023039046,t_cost
30,0.6657505267348213,v_cost
31,0.650043868221501,t_cost
31,0.6594840192900727,v_cost
32,0.6496159721083988,t_cost
32,0.6588358926567346,v_cost
33,0.6493960706653356,t_cost
33,0.6593036825449283,v_cost
34,0.6492428853680818,t_cost
34,0.6584890939706342,v_cost
35,0.6490505583878325,t_cost
35,0.6574562156624129,v_cost
36,0.6516182142080544,t_cost
36,0.6700419380786288,v_cost
37,0.6516698636697685,t_cost
37,0.6706583038970844,v_cost
38,0.6514518375925115,t_cost
38,0.6703922757894701,v_cost
39,0.6511557690352152,t_cost
39,0.670772903717295,v_cost
40,0.6507682022851302,t_cost
40,0.6708407311187083,v_cost
41,0.6478637791866729,t_cost
41,0.6681666780589448,v_cost
42,0.6475475893936156,t_cost
42,0.6703736494079223,v_cost
43,0.6474748469307113,t_cost
43,0.6683066747384673,v_cost
44,0.6477949037044564,t_cost
44,0.6672683185570993,v_cost
45,0.6472821390528953,t_cost
45,0.6673841966902119,v_cost
46,0.6452481773526212,t_cost
46,0.6725492571877025,v_cost
47,0.6446387220206945,t_cost
47,0.6733426415927026,v_cost
48,0.6445623376363707,t_cost
48,0.6749537177200571,v_cost
49,0.6445716654220022,t_cost
49,0.6746815945710526,v_cost
